#PSV-2.3   input_O:4a59207f
'GGAPBE96'   8.00000000 1
    0.609374693886493E-06   -0.109002401585573E+02
    0.610491917677860E-06   -0.109002401585576E+02
    0.611611189780409E-06   -0.109002401585579E+02
    0.612732513949503E-06   -0.109002401585582E+02
    0.613855893947386E-06   -0.109002401585585E+02
    0.614981333543203E-06   -0.109002401585588E+02
    0.616108836513008E-06   -0.109002401585591E+02
    0.617238406639777E-06   -0.109002401585593E+02
    0.618370047713425E-06   -0.109002401585596E+02
    0.619503763530811E-06   -0.109002401585600E+02
    0.620639557895758E-06   -0.109002401585603E+02
    0.621777434619063E-06   -0.109002401585606E+02
    0.622917397518508E-06   -0.109002401585609E+02
    0.624059450418876E-06   -0.109002401585612E+02
    0.625203597151962E-06   -0.109002401585615E+02
    0.626349841556585E-06   -0.109002401585618E+02
